PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE IF NOT EXISTS "stock_shoppinghistory" (id, target_name, value, num,material_name,material_item_name,material_parent_category_name,material_unit,date,is_send,created_at,updated_at);
INSERT INTO stock_shoppinghistory VALUES(122,'west',11,1,'Egg','Other','Dry','p','2023-04-25',1,'2023-04-26 04:05:56.774186','2023-04-30 02:09:14.766795');
INSERT INTO stock_shoppinghistory VALUES(123,'penticton',4.5999999999999996447,1,'Soup Cup (12oz) Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:07:10.497592','2023-04-30 02:09:14.771722');
INSERT INTO stock_shoppinghistory VALUES(124,'penticton',4.5999999999999996447,1,'Soup Cup (12oz) Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:07:13.924244','2023-04-30 02:09:14.777889');
INSERT INTO stock_shoppinghistory VALUES(125,'penticton',12.199999999999999289,2,'Soup Cup (16oz) Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:11:33.787264','2023-04-30 02:09:14.782827');
INSERT INTO stock_shoppinghistory VALUES(126,'west',33,1,'To Go Rice Bowl (Body)','Other','Container','p','2023-04-25',1,'2023-04-26 04:18:08.474137','2023-04-30 02:09:14.786907');
INSERT INTO stock_shoppinghistory VALUES(127,'penticton',11.199999999999999289,2,'Soup Cup (16 oz)Lid','Cup (Lid)','Container','p','2023-04-25',1,'2023-04-26 04:18:36.184658','2023-04-30 02:09:14.791251');
INSERT INTO stock_shoppinghistory VALUES(128,'penticton',23.100000000000001421,1,'Soy sauce take out','Soy Sause','Dry','cs','2023-04-25',1,'2023-04-26 04:37:27.234284','2023-04-30 02:09:14.795548');
INSERT INTO stock_shoppinghistory VALUES(129,'penticton',2.9931999999999998607,69.609999999999999432,'Cut Tuna','Tuna','Sushi','g','2023-04-25',1,'2023-04-26 04:38:21.774716','2023-04-30 02:09:14.800134');
INSERT INTO stock_shoppinghistory VALUES(130,'penticton',4,1,'Sunonmono Cucumber','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 04:38:48.792057','2023-04-30 02:09:14.804420');
INSERT INTO stock_shoppinghistory VALUES(131,'penticton',192,6000,'Cut WHOLE salmon','Salmon','Sushi','g','2023-04-25',1,'2023-04-26 04:39:02.871607','2023-04-30 02:09:14.808611');
INSERT INTO stock_shoppinghistory VALUES(132,'penticton',8,1,'Sunomono Juice','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 04:39:07.284655','2023-04-30 02:09:14.812627');
INSERT INTO stock_shoppinghistory VALUES(133,'penticton',7.2000000000000001776,1,'Sanpellegrio Orange','POP','Drinks','cs','2023-04-25',1,'2023-04-26 04:40:04.968678','2023-04-30 02:09:14.816672');
INSERT INTO stock_shoppinghistory VALUES(134,'penticton',17.5,1,'Sapporo beer','Alcohol','Drinks','cs','2023-04-25',1,'2023-04-26 04:40:30.432764','2023-04-30 02:09:14.821205');
INSERT INTO stock_shoppinghistory VALUES(135,'penticton',17.5,1,'Sapporo beer','Alcohol','Drinks','cs','2023-04-25',1,'2023-04-26 04:40:48.195061','2023-04-30 02:09:14.825248');
INSERT INTO stock_shoppinghistory VALUES(136,'penticton',7.7999999999999998223,3,'Sauce Cup (1.5/2oz)Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:42:50.706248','2023-04-30 02:09:14.829380');
INSERT INTO stock_shoppinghistory VALUES(137,'penticton',8.6999999999999992894,3,'Sauce Cup (1.5/2oz) Lid','Cup (Lid)','Container','p','2023-04-25',1,'2023-04-26 04:43:25.204031','2023-04-30 02:09:14.833332');
INSERT INTO stock_shoppinghistory VALUES(138,'penticton',9.1999999999999992894,2,'Soup Cup (12oz) Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:43:57.089245','2023-04-30 02:09:14.837397');
INSERT INTO stock_shoppinghistory VALUES(139,'penticton',9.1999999999999992894,2,'Soup Cup (12oz) Body','Cup (Body)','Container','p','2023-04-25',1,'2023-04-26 04:44:14.976319','2023-04-30 02:09:14.841439');
INSERT INTO stock_shoppinghistory VALUES(140,'penticton',11.199999999999999289,2,'Soup Cup (12oz) Lid','Cup (Lid)','Container','p','2023-04-25',1,'2023-04-26 04:44:36.140889','2023-04-30 02:09:14.845661');
INSERT INTO stock_shoppinghistory VALUES(141,'penticton',12.699999999999999289,1,'To Go Sushi (Round Medium)Body','Sushi (Big)','Container','p','2023-04-25',1,'2023-04-26 04:45:56.411645','2023-04-30 02:09:14.850638');
INSERT INTO stock_shoppinghistory VALUES(142,'penticton',12.699999999999999289,1,'To Go Sushi (Round Medium)Body','Sushi (Big)','Container','p','2023-04-25',1,'2023-04-26 04:46:00.855876','2023-04-30 02:09:14.854739');
INSERT INTO stock_shoppinghistory VALUES(143,'penticton',12.699999999999999289,1,'To Go Sushi (Round Medium)Body','Sushi (Big)','Container','p','2023-04-25',1,'2023-04-26 04:46:04.441299','2023-04-30 02:09:14.858805');
INSERT INTO stock_shoppinghistory VALUES(144,'penticton',9.0099999999999997868,1,'To Go Sushi (Round medium)Lid','Sushi (Big)','Container','p','2023-04-25',1,'2023-04-26 04:46:19.950085','2023-04-30 02:09:14.862754');
INSERT INTO stock_shoppinghistory VALUES(145,'penticton',5.7999999999999998223,1,'Green Onion(Sushi)','Veggie','Sushi','g','2023-04-25',1,'2023-04-26 04:46:27.128313','2023-04-30 02:09:14.866780');
INSERT INTO stock_shoppinghistory VALUES(146,'penticton',2.3999999999999999111,2,'Printer roll card','Office','Other','p','2023-04-25',1,'2023-04-26 04:46:41.679057','2023-04-30 02:09:14.871693');
INSERT INTO stock_shoppinghistory VALUES(147,'penticton',85,5,'Sushi rice','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 04:46:49.802847','2023-04-30 02:09:14.877362');
INSERT INTO stock_shoppinghistory VALUES(148,'penticton',35.399999999999998579,3,'Imitation Crab','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 04:47:12.592553','2023-04-30 02:09:14.883583');
INSERT INTO stock_shoppinghistory VALUES(149,'penticton',12,2,'Cream cheese','Tofu/ Other','Dry','p','2023-04-25',1,'2023-04-26 04:48:32.443846','2023-04-30 02:09:14.888440');
INSERT INTO stock_shoppinghistory VALUES(150,'penticton',5.7999999999999998223,1,'Gas bottlie','Other','Other','p','2023-04-25',1,'2023-04-26 04:56:03.924780','2023-04-30 02:09:14.895003');
INSERT INTO stock_shoppinghistory VALUES(151,'penticton',21.35000000000000142,1,'To Go Sushi (Square)lid','Bag','Other','cs','2023-04-25',1,'2023-04-26 05:19:31.847284','2023-04-30 02:09:14.899613');
INSERT INTO stock_shoppinghistory VALUES(152,'penticton',5,1,'Cucumber（Poke）','Veggie','Sushi','g','2023-04-25',1,'2023-04-26 22:50:57.456032','2023-04-30 02:09:14.903775');
INSERT INTO stock_shoppinghistory VALUES(153,'penticton',96,1,'Avocado','Veggie','Sushi','g','2023-04-25',1,'2023-04-26 22:51:16.856975','2023-04-30 02:09:14.910187');
INSERT INTO stock_shoppinghistory VALUES(154,'west',14.30000000000000071,22,'Frozen tuna box','Tuna','Sushi','lb','2023-04-26',1,'2023-04-27 03:33:17.373416','2023-04-30 02:09:14.915108');
INSERT INTO stock_shoppinghistory VALUES(155,'west',0.050799999999999997934,5179,'Frozen WHOLE salmon','Salmon','Sushi','g','2023-04-26',1,'2023-04-27 03:33:54.681141','2023-04-30 02:09:14.919073');
INSERT INTO stock_shoppinghistory VALUES(156,'west',15.80000000000000071,2,'Cucumber(sushi)','Veggie','Sushi','g','2023-04-26',1,'2023-04-27 03:34:48.473964','2023-04-30 02:09:14.923473');
INSERT INTO stock_shoppinghistory VALUES(157,'west',51,3,'Sushi rice','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 03:35:33.745073','2023-04-30 02:09:14.927728');
INSERT INTO stock_shoppinghistory VALUES(158,'west',52.799999999999997156,1,'White Poke','Sushi Sause','Sushi','p','2023-04-26',1,'2023-04-27 03:36:45.581792','2023-04-30 02:09:14.932239');
INSERT INTO stock_shoppinghistory VALUES(159,'west',5.7999999999999998223,1,'Green Onion(Ramen)','Veggie','Kitchen','p','2023-04-26',1,'2023-04-27 03:37:26.866030','2023-04-30 02:09:14.938482');
INSERT INTO stock_shoppinghistory VALUES(160,'west',11,1,'Shiraga Onion','Veggie','Kitchen','p','2023-04-26',1,'2023-04-27 03:38:27.549729','2023-04-30 02:09:14.943826');
INSERT INTO stock_shoppinghistory VALUES(161,'penticton',6,1,'Lemon slice','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 03:38:35.943656','2023-04-30 02:09:14.948202');
INSERT INTO stock_shoppinghistory VALUES(162,'west',19.80000000000000071,2,'Mayonaise','Sushi Sause','Sushi','p','2023-04-26',1,'2023-04-27 03:38:43.301458','2023-04-30 02:09:14.952607');
INSERT INTO stock_shoppinghistory VALUES(163,'penticton',4,1,'Sunonmono Cucumber','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 03:38:57.676137','2023-04-30 02:09:14.956610');
INSERT INTO stock_shoppinghistory VALUES(164,'west',47.5,1,'Raw Karaage','Meat','Kitchen','p','2023-04-26',1,'2023-04-27 03:39:03.443735','2023-04-30 02:09:14.960432');
INSERT INTO stock_shoppinghistory VALUES(165,'penticton',33,1,'Green tea','Tea','Kitchen','p','2023-04-26',1,'2023-04-27 03:40:13.263388','2023-04-30 02:09:14.964232');
INSERT INTO stock_shoppinghistory VALUES(166,'penticton',25,1,'Wasabi paste','Soy Sause','Dry','p','2023-04-26',1,'2023-04-27 03:40:13.291178','2023-04-30 02:09:14.967926');
INSERT INTO stock_shoppinghistory VALUES(167,'penticton',7.0999999999999996447,1,'Soy sauce less sodium','Soy Sause','Dry','p','2023-04-26',1,'2023-04-27 03:40:13.302519','2023-04-30 02:09:14.972400');
INSERT INTO stock_shoppinghistory VALUES(168,'penticton',7.2000000000000001776,1,'Sanpellegrio Orange','POP','Drinks','cs','2023-04-26',1,'2023-04-27 03:41:17.112648','2023-04-30 02:09:14.977567');
INSERT INTO stock_shoppinghistory VALUES(170,'penticton',7.2000000000000001776,1,'Sanpellegrio Lemon','POP','Drinks','cs','2023-04-26',1,'2023-04-27 03:42:27.345953','2023-04-30 02:09:14.981822');
INSERT INTO stock_shoppinghistory VALUES(171,'west',48,1,'Raw Teriyaki chicken','Meat','Kitchen','p','2023-04-26',1,'2023-04-27 03:43:05.095933','2023-04-30 02:09:14.985820');
INSERT INTO stock_shoppinghistory VALUES(172,'west',47.60000000000000142,2,'Chicken soup','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 03:44:22.311498','2023-04-30 02:09:14.990120');
INSERT INTO stock_shoppinghistory VALUES(173,'west',23.100000000000001421,1,'Soy sauce take out','Soy Sause','Dry','cs','2023-04-26',1,'2023-04-27 03:44:27.015838','2023-04-30 02:09:14.994124');
INSERT INTO stock_shoppinghistory VALUES(174,'penticton',46,1,'COKE Zero','POP','Drinks','cs','2023-04-26',1,'2023-04-27 03:44:32.738406','2023-04-30 02:09:14.997963');
INSERT INTO stock_shoppinghistory VALUES(175,'penticton',46,1,'Canada Dry','POP','Drinks','cs','2023-04-26',1,'2023-04-27 03:45:41.128288','2023-04-30 02:09:15.002551');
INSERT INTO stock_shoppinghistory VALUES(176,'penticton',17.5,1,'Sapporo beer','Alcohol','Drinks','cs','2023-04-26',1,'2023-04-27 03:45:41.154612','2023-04-30 02:09:15.006911');
INSERT INTO stock_shoppinghistory VALUES(177,'penticton',15.599999999999999644,1,'Sleeman Honey Lager','Alcohol','Drinks','cs','2023-04-26',1,'2023-04-27 03:45:41.163663','2023-04-30 02:09:15.011070');
INSERT INTO stock_shoppinghistory VALUES(178,'west',17.5,1,'Sapporo beer','Alcohol','Drinks','cs','2023-04-26',1,'2023-04-27 03:45:43.499695','2023-04-30 02:09:15.015086');
INSERT INTO stock_shoppinghistory VALUES(179,'west',17.199999999999999289,1,'Curry sauce','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 03:47:03.418582','2023-04-30 02:09:15.019350');
INSERT INTO stock_shoppinghistory VALUES(180,'penticton',11,1,'Sauce Cup (8oz) Lid','Cup (Lid)','Container','p','2023-04-26',1,'2023-04-27 03:47:03.652052','2023-04-30 02:09:15.024366');
INSERT INTO stock_shoppinghistory VALUES(181,'penticton',5.5999999999999996447,1,'Soup Cup (12oz) Lid','Cup (Lid)','Container','p','2023-04-26',1,'2023-04-27 03:47:03.672858','2023-04-30 02:09:15.029825');
INSERT INTO stock_shoppinghistory VALUES(182,'penticton',3.5,1,'Chop Sticks','TO GO','Other','p','2023-04-26',1,'2023-04-27 03:47:03.864349','2023-04-30 02:09:15.034432');
INSERT INTO stock_shoppinghistory VALUES(183,'penticton',7.2000000000000001776,1,'Duster','Daily','Other','p','2023-04-26',1,'2023-04-27 03:48:12.151273','2023-04-30 02:09:15.038671');
INSERT INTO stock_shoppinghistory VALUES(184,'west',21.600000000000001421,1,'White wine','Alcohol','Drinks','p','2023-04-26',1,'2023-04-27 03:48:18.474324','2023-04-30 02:09:15.042515');
INSERT INTO stock_shoppinghistory VALUES(185,'west',6,1,'Gyouza Sauce','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 03:48:23.119147','2023-04-30 02:09:15.046586');
INSERT INTO stock_shoppinghistory VALUES(186,'west',2.6000000000000000888,1,'Sauce Cup (1.5/2oz)Body','Cup (Body)','Container','p','2023-04-26',1,'2023-04-27 03:49:01.489468','2023-04-30 02:09:15.051061');
INSERT INTO stock_shoppinghistory VALUES(187,'west',2.8999999999999999111,1,'Sauce Cup (1.5/2oz) Lid','Cup (Lid)','Container','p','2023-04-26',1,'2023-04-27 03:49:49.999087','2023-04-30 02:09:15.054968');
INSERT INTO stock_shoppinghistory VALUES(188,'west',105.59999999999999431,8,'Shrimp Tempura','F. Kitchen','Frozen','p','2023-04-26',1,'2023-04-27 03:49:50.029202','2023-04-30 02:09:15.064134');
INSERT INTO stock_shoppinghistory VALUES(189,'west',2,1,'Printer roll','Office','Other','p','2023-04-26',1,'2023-04-27 03:50:19.786642','2023-04-30 02:09:15.068263');
INSERT INTO stock_shoppinghistory VALUES(190,'west',6.2999999999999998223,3,'Edamame','F. Kitchen','Frozen','p','2023-04-26',1,'2023-04-27 03:50:59.689699','2023-04-30 02:09:15.072835');
INSERT INTO stock_shoppinghistory VALUES(191,'west',1.1999999999999999555,1,'Printer roll card','Office','Other','p','2023-04-26',1,'2023-04-27 03:51:02.673407','2023-04-30 02:09:15.076975');
INSERT INTO stock_shoppinghistory VALUES(192,'west',40.799999999999997158,1,'Ramen noodle','F. Kitchen','Frozen','cs','2023-04-26',1,'2023-04-27 03:51:29.611174','2023-04-30 02:09:15.081270');
INSERT INTO stock_shoppinghistory VALUES(193,'west',12,1,'Cornstarch','Flour/ Other','Dry','p','2023-04-26',1,'2023-04-27 03:51:45.746540','2023-04-30 02:09:15.085357');
INSERT INTO stock_shoppinghistory VALUES(194,'west',13.5,3,'smoked tofu','Tofu/ Other','Dry','p','2023-04-26',1,'2023-04-27 03:52:02.519607','2023-04-30 02:09:15.089141');
INSERT INTO stock_shoppinghistory VALUES(195,'west',3.6699999999999999289,1,'Tofu','Kojiya','Kitchen','p','2023-04-26',1,'2023-04-27 03:52:18.233473','2023-04-30 02:09:15.092860');
INSERT INTO stock_shoppinghistory VALUES(196,'west',48.399999999999998578,1,'Canola OIL','Other','Dry','p','2023-04-26',1,'2023-04-27 03:52:38.721797','2023-04-30 02:09:15.097170');
INSERT INTO stock_shoppinghistory VALUES(197,'west',6.0999999999999996447,1,'Soup Cup (16oz) Body','Cup (Body)','Container','p','2023-04-26',1,'2023-04-27 03:52:55.899251','2023-04-30 02:09:15.101360');
INSERT INTO stock_shoppinghistory VALUES(198,'west',15,1,'To Go Ra-men (Body)','Other','Container','p','2023-04-26',1,'2023-04-27 03:53:32.506375','2023-04-30 02:09:15.106028');
INSERT INTO stock_shoppinghistory VALUES(199,'west',5.5999999999999996447,1,'Soup Cup (16 oz)Lid','Cup (Lid)','Container','p','2023-04-26',1,'2023-04-27 03:54:14.088258','2023-04-30 02:09:15.110672');
INSERT INTO stock_shoppinghistory VALUES(200,'west',5.5999999999999996447,1,'Soup Cup (16 oz)Lid','Cup (Lid)','Container','p','2023-04-26',1,'2023-04-27 03:54:17.582992','2023-04-30 02:09:15.116531');
INSERT INTO stock_shoppinghistory VALUES(201,'west',12,1,'To Go Ra-men (Lid)','Other','Container','p','2023-04-26',1,'2023-04-27 03:54:59.078133','2023-04-30 02:09:15.122120');
INSERT INTO stock_shoppinghistory VALUES(202,'west',2.1600000000000001421,1,'Kitchen Paper','Daily','Other','p','2023-04-26',1,'2023-04-27 03:55:52.682291','2023-04-30 02:09:15.126369');
INSERT INTO stock_shoppinghistory VALUES(203,'penticton',23.699999999999999289,3,'Cucumber(sushi)','Veggie','Sushi','g','2023-04-26',1,'2023-04-27 04:37:11.426113','2023-04-30 02:09:15.130701');
INSERT INTO stock_shoppinghistory VALUES(204,'penticton',102,6,'Sushi rice','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 04:37:24.601333','2023-04-30 02:09:15.134923');
INSERT INTO stock_shoppinghistory VALUES(205,'penticton',102,6,'Sushi rice','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 04:37:25.132664','2023-04-30 02:09:15.139204');
INSERT INTO stock_shoppinghistory VALUES(206,'penticton',23.600000000000001421,2,'Imitation Crab','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 04:37:40.691238','2023-04-30 02:09:15.143633');
INSERT INTO stock_shoppinghistory VALUES(207,'penticton',16,1,'Sushi shrimp','F. Sushi','Frozen','p','2023-04-26',1,'2023-04-27 04:38:13.062347','2023-04-30 02:09:15.149622');
INSERT INTO stock_shoppinghistory VALUES(208,'penticton',14.400000000000000355,1,'Sasanoha','Other','Dry','p','2023-04-26',1,'2023-04-27 04:39:20.080371','2023-04-30 02:09:15.154641');
INSERT INTO stock_shoppinghistory VALUES(209,'penticton',8,1,'Shiitake mushroom','KOYA','Sushi','p','2023-04-26',1,'2023-04-27 04:41:57.950474','2023-04-30 02:09:15.158926');
INSERT INTO stock_shoppinghistory VALUES(210,'penticton',112.40000000000000567,2,'Fried Karaage','KOYA','Sushi','p','2023-04-26',1,'2023-04-27 04:42:46.276624','2023-04-30 02:09:15.163308');
INSERT INTO stock_shoppinghistory VALUES(211,'penticton',25.600000000000001421,1,'Tempura Yam','KOYA','Sushi','g','2023-04-26',1,'2023-04-27 04:43:03.920606','2023-04-30 02:09:15.167267');
INSERT INTO stock_shoppinghistory VALUES(212,'penticton',12.5,1,'Fried onion','KOYA','Sushi','g','2023-04-26',1,'2023-04-27 04:43:24.867508','2023-04-30 02:09:15.171428');
INSERT INTO stock_shoppinghistory VALUES(213,'penticton',11.30000000000000071,1,'Rice','DU/Other','Sushi','p','2023-04-26',1,'2023-04-27 04:43:53.540891','2023-04-30 02:09:15.175571');
INSERT INTO stock_shoppinghistory VALUES(214,'penticton',11,1,'Shiraga Onion','Veggie','Kitchen','p','2023-04-26',1,'2023-04-27 04:45:20.423287','2023-04-30 02:09:15.179944');
INSERT INTO stock_shoppinghistory VALUES(215,'penticton',192,4,'Raw Teriyaki chicken','Meat','Kitchen','p','2023-04-26',1,'2023-04-27 04:45:55.926473','2023-04-30 02:09:15.185107');
INSERT INTO stock_shoppinghistory VALUES(216,'penticton',47.60000000000000142,2,'Chicken soup','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 04:46:38.565675','2023-04-30 02:09:15.189468');
INSERT INTO stock_shoppinghistory VALUES(217,'penticton',17.199999999999999289,1,'Curry sauce','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 04:47:07.864974','2023-04-30 02:09:15.193998');
INSERT INTO stock_shoppinghistory VALUES(218,'penticton',15,1,'Teriyaki Sauce','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 04:47:36.650033','2023-04-30 02:09:15.199666');
INSERT INTO stock_shoppinghistory VALUES(219,'penticton',61,1,'Miso Ramen Sauce','Sauce/Soup','Kitchen','p','2023-04-26',1,'2023-04-27 04:48:09.033447','2023-04-30 02:09:15.206573');
INSERT INTO stock_shoppinghistory VALUES(220,'penticton',14.30000000000000071,1,'Frozen tuna box','Tuna','Sushi','lb','2023-04-26',1,'2023-04-27 04:48:28.480949','2023-04-30 02:09:15.211106');
INSERT INTO stock_shoppinghistory VALUES(221,'penticton',24,1,'Seafood mix','Other','Kitchen','p','2023-04-26',1,'2023-04-27 04:48:50.595600','2023-04-30 02:09:15.215742');
INSERT INTO stock_shoppinghistory VALUES(222,'penticton',158.40000000000000568,12,'Shrimp Tempura','F. Kitchen','Frozen','p','2023-04-26',1,'2023-04-27 04:49:17.650170','2023-04-30 02:09:15.220221');
INSERT INTO stock_shoppinghistory VALUES(223,'penticton',71.5,1,'Gyoza','F. Kitchen','Frozen','p','2023-04-26',1,'2023-04-27 04:49:40.655337','2023-04-30 02:09:15.224311');
INSERT INTO stock_shoppinghistory VALUES(224,'penticton',40.799999999999997158,1,'Ramen noodle','F. Kitchen','Frozen','cs','2023-04-26',1,'2023-04-27 04:50:11.373140','2023-04-30 02:09:15.229276');
INSERT INTO stock_shoppinghistory VALUES(225,'penticton',7,2,'Harusame','Noodle','Dry','p','2023-04-26',1,'2023-04-27 04:50:38.049243','2023-04-30 02:09:15.233404');
INSERT INTO stock_shoppinghistory VALUES(226,'penticton',2.0400000000000000355,1,'Rice noodle','Noodle','Dry','p','2023-04-26',1,'2023-04-27 04:50:54.510877','2023-04-30 02:09:15.237692');
INSERT INTO stock_shoppinghistory VALUES(227,'penticton',42.899999999999998577,1,'Tempura powder','Flour/ Other','Dry','p','2023-04-26',1,'2023-04-27 04:51:14.290553','2023-04-30 02:09:15.241887');
INSERT INTO stock_shoppinghistory VALUES(228,'penticton',9,2,'smoked tofu','Tofu/ Other','Dry','p','2023-04-26',1,'2023-04-27 04:51:36.694093','2023-04-30 02:09:15.246151');
INSERT INTO stock_shoppinghistory VALUES(229,'penticton',27.5,1,'Vegan sauce','Other','Dry','p','2023-04-26',1,'2023-04-27 04:51:55.304408','2023-04-30 02:09:15.250259');
INSERT INTO stock_shoppinghistory VALUES(230,'penticton',6.0999999999999996447,1,'Soup Cup (16oz) Body','Cup (Body)','Container','p','2023-04-26',1,'2023-04-27 04:52:19.958136','2023-04-30 02:09:15.254282');
INSERT INTO stock_shoppinghistory VALUES(231,'penticton',33,1,'To Go Rice Bowl (Body)','Other','Container','p','2023-04-26',1,'2023-04-27 04:52:34.961508','2023-04-30 02:09:15.258878');
INSERT INTO stock_shoppinghistory VALUES(232,'penticton',2.1600000000000001421,1,'Kitchen Paper','Daily','Other','p','2023-04-26',1,'2023-04-27 04:52:57.646210','2023-04-30 02:09:15.263171');
INSERT INTO stock_shoppinghistory VALUES(233,'penticton',2,1,'Printer roll(kitchen)','Office','Other','p','2023-04-26',1,'2023-04-27 04:53:15.050727','2023-04-30 02:09:15.267297');
